FileVersion 1 7;
FileTimestamp 06-06-2021 14:20:59;
TiffSpec 6.0 NA R;
InspectionStationID "RudolphTechnologies" "XCluster" "2QAVI03";
SampleType WAFER;
10 2
11 2
12 2
13 2
14 2
15 2
16 2
17 2
18 2
19 2
20 2
21 2
22 2
23 2
24 2
25 2
26 2
27 2
28 2
29 2
30 2
31 2
32 2
33 2
34 2
35 2
36 2
37 2
38 2
39 2
40 2
-38 3
-37 3
-36 3
-35 3
-34 3
-33 3
-32 3
-31 3
-30 3
-29 3
-28 3
-27 3
-26 3
-25 3
-24 3
-23 3
-22 3
-21 3
-20 3
-19 3
-18 3
-17 3
-16 3
-15 3
-14 3
-13 3
-12 3
-11 3
-10 3
-9 3
-8 3
-7 3
-6 3
-5 3
-4 3
-3 3
-2 3
-1 3
0 3
1 3
2 3
3 3
4 3
5 3
6 3
7 3
8 3
9 3
10 3
11 3
12 3
13 3
14 3
15 3
16 3
17 3
18 3
19 3
20 3
21 3
22 3
23 3
24 3
25 3
26 3
27 3
28 3
29 3
30 3
31 3
32 3
33 3
34 3
35 3
36 3
37 3
38 3
39 3
40 3
-38 4
-37 4
-36 4
-35 4
-34 4
-33 4
-32 4
-31 4
-30 4
-29 4
-28 4
-27 4
-26 4
-25 4
-24 4
-23 4
-22 4
-21 4
-20 4
-19 4
-18 4
-17 4
-16 4
-15 4
-14 4
-13 4
-12 4
-11 4
-10 4
-9 4
-8 4
-7 4
-6 4
-5 4
-4 4
-3 4
-2 4
-1 4
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
14 4
15 4
16 4
17 4
18 4
19 4
20 4
21 4
22 4
23 4
24 4
25 4
26 4
27 4
28 4
29 4
30 4
31 4
32 4
33 4
34 4
35 4
36 4
37 4
38 4
39 4
40 4
-38 5
-37 5
-36 5
-35 5
-34 5
-33 5
-32 5
-31 5
-30 5
-29 5
-28 5
-27 5
-26 5
-25 5
-24 5
-23 5
-22 5
-21 5
-20 5
-19 5
-18 5
-17 5
-16 5
-15 5
-14 5
-13 5
-12 5
-11 5
-10 5
-9 5
-8 5
-7 5
-6 5
-5 5
-4 5
-3 5
-2 5
-1 5
0 5
1 5
2 5
3 5
4 5
5 5
6 5
7 5
8 5
9 5
10 5
11 5
12 5
13 5
14 5
15 5
16 5
17 5
18 5
19 5
20 5
21 5
22 5
23 5
24 5
25 5
26 5
27 5
28 5
29 5
30 5
31 5
32 5
33 5
34 5
35 5
36 5
37 5
38 5
39 5
40 5
-38 6
-37 6
-36 6
-35 6
-34 6
-33 6
-32 6
-31 6
-30 6
-29 6
-28 6
-27 6
-26 6
-25 6
-24 6
-23 6
-22 6
-21 6
-20 6
-19 6
-18 6
-17 6
-16 6
-15 6
-14 6
-13 6
-12 6
-11 6
-10 6
-9 6
-8 6
-7 6
-6 6
-5 6
-4 6
-3 6
-2 6
-1 6
0 6
1 6
2 6
3 6
4 6
5 6
6 6
7 6
8 6
9 6
10 6
11 6
12 6
13 6
14 6
15 6
16 6
17 6
18 6
19 6
20 6
21 6
22 6
23 6
24 6
25 6
26 6
27 6
28 6
29 6
30 6
31 6
32 6
33 6
34 6
35 6
36 6
37 6
38 6
39 6
40 6
-38 7
-37 7
-36 7
-35 7
-34 7
-33 7
-32 7
-31 7
-30 7
-29 7
-28 7
-27 7
-26 7
-25 7
-24 7
-23 7
-22 7
-21 7
-20 7
-19 7
-18 7
-17 7
-16 7
-15 7
-14 7
-13 7
-12 7
-11 7
-10 7
-9 7
-8 7
-7 7
-6 7
-5 7
-4 7
-3 7
-2 7
-1 7
0 7
1 7
2 7
3 7
4 7
5 7
6 7
7 7
8 7
9 7
10 7
11 7
12 7
13 7
14 7
15 7
16 7
17 7
18 7
19 7
20 7
21 7
22 7
23 7
24 7
25 7
26 7
27 7
28 7
29 7
30 7
31 7
32 7
33 7
34 7
35 7
36 7
37 7
38 7
39 7
-38 8
-37 8
-36 8
-35 8
-34 8
-33 8
-32 8
-31 8
-30 8
-29 8
-28 8
-27 8
-26 8
-25 8
-24 8
-23 8
-22 8
-21 8
-20 8
-19 8
-18 8
-17 8
-16 8
-15 8
-14 8
-13 8
-12 8
-11 8
-10 8
-9 8
-8 8
-7 8
-6 8
-5 8
-4 8
-3 8
-2 8
-1 8
0 8
1 8
2 8
3 8
4 8
5 8
6 8
7 8
8 8
9 8
10 8
11 8
12 8
13 8
14 8
15 8
16 8
17 8
18 8
19 8
20 8
21 8
22 8
23 8
24 8
25 8
26 8
27 8
28 8
29 8
30 8
31 8
32 8
33 8
34 8
35 8
36 8
37 8
38 8
39 8
-37 9
-36 9
-35 9
-34 9
-33 9
-32 9
-31 9
-30 9
-29 9
-28 9
-27 9
-26 9
-25 9
-24 9
-23 9
-22 9
-21 9
-20 9
-19 9
-18 9
-17 9
-16 9
-15 9
-14 9
-13 9
-12 9
-11 9
-10 9
-9 9
-8 9
-7 9
-6 9
-5 9
-4 9
-3 9
-2 9
-1 9
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
25 9
26 9
27 9
28 9
29 9
30 9
31 9
32 9
33 9
34 9
35 9
36 9
37 9
38 9
39 9
-37 10
-36 10
-35 10
-34 10
-33 10
-32 10
-31 10
-30 10
-29 10
-28 10
-27 10
-26 10
-25 10
-24 10
-23 10
-22 10
-21 10
-20 10
-19 10
-18 10
-17 10
-16 10
-15 10
-14 10
-13 10
-12 10
-11 10
-10 10
-9 10
-8 10
-7 10
-6 10
-5 10
-4 10
-3 10
-2 10
-1 10
0 10
1 10
2 10
3 10
4 10
5 10
6 10
7 10
8 10
9 10
10 10
11 10
12 10
13 10
14 10
15 10
16 10
17 10
18 10
19 10
20 10
21 10
22 10
23 10
24 10
25 10
26 10
27 10
28 10
29 10
30 10
31 10
32 10
33 10
34 10
35 10
36 10
37 10
38 10
39 10
-37 11
-36 11
-35 11
-34 11
-33 11
-32 11
-31 11
-30 11
-29 11
-28 11
-27 11
-26 11
-25 11
-24 11
-23 11
-22 11
-21 11
-20 11
-19 11
-18 11
-17 11
-16 11
-15 11
-14 11
-13 11
-12 11
-11 11
-10 11
-9 11
-8 11
-7 11
-6 11
-5 11
-4 11
-3 11
-2 11
-1 11
0 11
1 11
2 11
3 11
4 11
5 11
6 11
7 11
8 11
9 11
10 11
11 11
12 11
13 11
14 11
15 11
16 11
17 11
18 11
19 11
20 11
21 11
22 11
23 11
24 11
25 11
26 11
27 11
28 11
29 11
30 11
31 11
32 11
33 11
34 11
35 11
36 11
37 11
38 11
-36 12
-35 12
-34 12
-33 12
-32 12
-31 12
-30 12
-29 12
-28 12
-27 12
-26 12
-25 12
-24 12
-23 12
-22 12
-21 12
-20 12
-19 12
-18 12
-17 12
-16 12
-15 12
-14 12
-13 12
-12 12
-11 12
-10 12
-9 12
-8 12
-7 12
-6 12
-5 12
-4 12
-3 12
-2 12
-1 12
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
31 12
32 12
33 12
34 12
35 12
36 12
37 12
38 12
-36 13
-35 13
-34 13
-33 13
-32 13
-31 13
-30 13
-29 13
-28 13
-27 13
-26 13
-25 13
-24 13
-23 13
-22 13
-21 13
-20 13
-19 13
-18 13
-17 13
-16 13
-15 13
-14 13
-13 13
-12 13
-11 13
-10 13
-9 13
-8 13
-7 13
-6 13
-5 13
-4 13
-3 13
-2 13
-1 13
0 13
1 13
2 13
3 13
4 13
5 13
6 13
7 13
8 13
9 13
10 13
11 13
12 13
13 13
14 13
15 13
16 13
17 13
18 13
19 13
20 13
21 13
22 13
23 13
24 13
25 13
26 13
27 13
28 13
29 13
30 13
31 13
32 13
33 13
34 13
35 13
36 13
37 13
-36 14
-35 14
-34 14
-33 14
-32 14
-31 14
-30 14
-29 14
-28 14
-27 14
-26 14
-25 14
-24 14
-23 14
-22 14
-21 14
-20 14
-19 14
-18 14
-17 14
-16 14
-15 14
-14 14
-13 14
-12 14
-11 14
-10 14
-9 14
-8 14
-7 14
-6 14
-5 14
-4 14
-3 14
-2 14
-1 14
0 14
1 14
2 14
3 14
4 14
5 14
6 14
7 14
8 14
9 14
10 14
11 14
12 14
13 14
14 14
15 14
16 14
17 14
18 14
19 14
20 14
21 14
22 14
23 14
24 14
25 14
26 14
27 14
28 14
29 14
30 14
31 14
32 14
33 14
34 14
35 14
36 14
37 14
-35 15
-34 15
-33 15
-32 15
-31 15
-30 15
-29 15
-28 15
-27 15
-26 15
-25 15
-24 15
-23 15
-22 15
-21 15
-20 15
-19 15
-18 15
-17 15
-16 15
-15 15
-14 15
-13 15
-12 15
-11 15
-10 15
-9 15
-8 15
-7 15
-6 15
-5 15
-4 15
-3 15
-2 15
-1 15
0 15
1 15
2 15
3 15
4 15
5 15
6 15
7 15
8 15
9 15
10 15
11 15
12 15
13 15
14 15
15 15
16 15
17 15
18 15
19 15
20 15
21 15
22 15
23 15
24 15
25 15
26 15
27 15
28 15
29 15
30 15
31 15
32 15
33 15
34 15
35 15
36 15
37 15
-35 16
-34 16
-33 16
-32 16
-31 16
-30 16
-29 16
-28 16
-27 16
-26 16
-25 16
-24 16
-23 16
-22 16
-21 16
-20 16
-19 16
-18 16
-17 16
-16 16
-15 16
-14 16
-13 16
-12 16
-11 16
-10 16
-9 16
-8 16
-7 16
-6 16
-5 16
-4 16
-3 16
-2 16
-1 16
0 16
1 16
2 16
3 16
4 16
5 16
6 16
7 16
8 16
9 16
10 16
11 16
12 16
13 16
14 16
15 16
16 16
17 16
18 16
19 16
20 16
21 16
22 16
23 16
24 16
25 16
26 16
27 16
28 16
29 16
30 16
31 16
32 16
33 16
34 16
35 16
36 16
-34 17
-33 17
-32 17
-31 17
-30 17
-29 17
-28 17
-27 17
-26 17
-25 17
-24 17
-23 17
-22 17
-21 17
-20 17
-19 17
-18 17
-17 17
-16 17
-15 17
-14 17
-13 17
-12 17
-11 17
-10 17
-9 17
-8 17
-7 17
-6 17
-5 17
-4 17
-3 17
-2 17
-1 17
0 17
1 17
2 17
3 17
4 17
5 17
6 17
7 17
8 17
9 17
10 17
11 17
12 17
13 17
14 17
15 17
16 17
17 17
18 17
19 17
20 17
21 17
22 17
23 17
24 17
25 17
26 17
27 17
28 17
29 17
30 17
31 17
32 17
33 17
34 17
35 17
36 17
-33 18
-32 18
-31 18
-30 18
-29 18
-28 18
-27 18
-26 18
-25 18
-24 18
-23 18
-22 18
-21 18
-20 18
-19 18
-18 18
-17 18
-16 18
-15 18
-14 18
-13 18
-12 18
-11 18
-10 18
-9 18
-8 18
-7 18
-6 18
-5 18
-4 18
-3 18
-2 18
-1 18
0 18
1 18
2 18
3 18
4 18
5 18
6 18
7 18
8 18
9 18
10 18
11 18
12 18
13 18
14 18
15 18
16 18
17 18
18 18
19 18
20 18
21 18
22 18
23 18
24 18
25 18
26 18
27 18
28 18
29 18
30 18
31 18
32 18
33 18
34 18
35 18
-33 19
-32 19
-31 19
-30 19
-29 19
-28 19
-27 19
-26 19
-25 19
-24 19
-23 19
-22 19
-21 19
-20 19
-19 19
-18 19
-17 19
-16 19
-15 19
-14 19
-13 19
-12 19
-11 19
-10 19
-9 19
-8 19
-7 19
-6 19
-5 19
-4 19
-3 19
-2 19
-1 19
0 19
1 19
2 19
3 19
4 19
5 19
6 19
7 19
8 19
9 19
10 19
11 19
12 19
13 19
14 19
15 19
16 19
17 19
18 19
19 19
20 19
21 19
22 19
23 19
24 19
25 19
26 19
27 19
28 19
29 19
30 19
31 19
32 19
33 19
34 19
-32 20
-31 20
-30 20
-29 20
-28 20
-27 20
-26 20
-25 20
-24 20
-23 20
-22 20
-21 20
-20 20
-19 20
-18 20
-17 20
-16 20
-15 20
-14 20
-13 20
-12 20
-11 20
-10 20
-9 20
-8 20
-7 20
-6 20
-5 20
-4 20
-3 20
-2 20
-1 20
0 20
1 20
2 20
3 20
4 20
5 20
6 20
7 20
8 20
9 20
10 20
11 20
12 20
13 20
14 20
15 20
16 20
17 20
18 20
19 20
20 20
21 20
22 20
23 20
24 20
25 20
26 20
27 20
28 20
29 20
30 20
31 20
32 20
33 20
34 20
-31 21
-30 21
-29 21
-28 21
-27 21
-26 21
-25 21
-24 21
-23 21
-22 21
-21 21
-20 21
-19 21
-18 21
-17 21
-16 21
-15 21
-14 21
-13 21
-12 21
-11 21
-10 21
-9 21
-8 21
-7 21
-6 21
-5 21
-4 21
-3 21
-2 21
-1 21
0 21
1 21
2 21
3 21
4 21
5 21
6 21
7 21
8 21
9 21
10 21
11 21
12 21
13 21
14 21
15 21
16 21
17 21
18 21
19 21
20 21
21 21
22 21
23 21
24 21
25 21
26 21
27 21
28 21
29 21
30 21
31 21
32 21
33 21
-31 22
-30 22
-29 22
-28 22
-27 22
-26 22
-25 22
-24 22
-23 22
-22 22
-21 22
-20 22
-19 22
-18 22
-17 22
-16 22
-15 22
-14 22
-13 22
-12 22
-11 22
-10 22
-9 22
-8 22
-7 22
-6 22
-5 22
-4 22
-3 22
-2 22
-1 22
0 22
1 22
2 22
3 22
4 22
5 22
6 22
7 22
8 22
9 22
10 22
11 22
12 22
13 22
14 22
15 22
16 22
17 22
18 22
19 22
20 22
21 22
22 22
23 22
24 22
25 22
26 22
27 22
28 22
29 22
30 22
31 22
32 22
-30 23
-29 23
-28 23
-27 23
-26 23
-25 23
-24 23
-23 23
-22 23
-21 23
-20 23
-19 23
-18 23
-17 23
-16 23
-15 23
-14 23
-13 23
-12 23
-11 23
-10 23
-9 23
-8 23
-7 23
-6 23
-5 23
-4 23
-3 23
-2 23
-1 23
0 23
1 23
2 23
3 23
4 23
5 23
6 23
7 23
8 23
9 23
10 23
11 23
12 23
13 23
14 23
15 23
16 23
17 23
18 23
19 23
20 23
21 23
22 23
23 23
24 23
25 23
26 23
27 23
28 23
29 23
30 23
31 23
-29 24
-28 24
-27 24
-26 24
-25 24
-24 24
-23 24
-22 24
-21 24
-20 24
-19 24
-18 24
-17 24
-16 24
-15 24
-14 24
-13 24
-12 24
-11 24
-10 24
-9 24
-8 24
-7 24
-6 24
-5 24
-4 24
-3 24
-2 24
-1 24
0 24
1 24
2 24
3 24
4 24
5 24
6 24
7 24
8 24
9 24
10 24
11 24
12 24
13 24
14 24
15 24
16 24
17 24
18 24
19 24
20 24
21 24
22 24
23 24
24 24
25 24
26 24
27 24
28 24
29 24
30 24
31 24
-28 25
-27 25
-26 25
-25 25
-24 25
-23 25
-22 25
-21 25
-20 25
-19 25
-18 25
-17 25
-16 25
-15 25
-14 25
-13 25
-12 25
-11 25
-10 25
-9 25
-8 25
-7 25
-6 25
-5 25
-4 25
-3 25
-2 25
-1 25
0 25
1 25
2 25
3 25
4 25
5 25
6 25
7 25
8 25
9 25
10 25
11 25
12 25
13 25
14 25
15 25
16 25
17 25
18 25
19 25
20 25
21 25
22 25
23 25
24 25
25 25
26 25
27 25
28 25
29 25
30 25
-27 26
-26 26
-25 26
-24 26
-23 26
-22 26
-21 26
-20 26
-19 26
-18 26
-17 26
-16 26
-15 26
-14 26
-13 26
-12 26
-11 26
-10 26
-9 26
-8 26
-7 26
-6 26
-5 26
-4 26
-3 26
-2 26
-1 26
0 26
1 26
2 26
3 26
4 26
5 26
6 26
7 26
8 26
9 26
10 26
11 26
12 26
13 26
14 26
15 26
16 26
17 26
18 26
19 26
20 26
21 26
22 26
23 26
24 26
25 26
26 26
27 26
28 26
29 26
-26 27
-25 27
-24 27
-23 27
-22 27
-21 27
-20 27
-19 27
-18 27
-17 27
-16 27
-15 27
-14 27
-13 27
-12 27
-11 27
-10 27
-9 27
-8 27
-7 27
-6 27
-5 27
-4 27
-3 27
-2 27
-1 27
0 27
1 27
2 27
3 27
4 27
5 27
6 27
7 27
8 27
9 27
10 27
11 27
12 27
13 27
14 27
15 27
16 27
17 27
18 27
19 27
20 27
21 27
22 27
23 27
24 27
25 27
26 27
27 27
28 27
-25 28
-24 28
-23 28
-22 28
-21 28
-20 28
-19 28
-18 28
-17 28
-16 28
-15 28
-14 28
-13 28
-12 28
-11 28
-10 28
-9 28
-8 28
-7 28
-6 28
-5 28
-4 28
-3 28
-2 28
-1 28
0 28
1 28
2 28
3 28
4 28
5 28
6 28
7 28
8 28
9 28
10 28
11 28
12 28
13 28
14 28
15 28
16 28
17 28
18 28
19 28
20 28
21 28
22 28
23 28
24 28
25 28
26 28
-24 29
-23 29
-22 29
-21 29
-20 29
-19 29
-18 29
-17 29
-16 29
-15 29
-14 29
-13 29
-12 29
-11 29
-10 29
-9 29
-8 29
-7 29
-6 29
-5 29
-4 29
-3 29
-2 29
-1 29
0 29
1 29
2 29
3 29
4 29
5 29
6 29
7 29
8 29
9 29
10 29
11 29
12 29
13 29
14 29
15 29
16 29
17 29
18 29
19 29
20 29
21 29
22 29
23 29
24 29
25 29
-22 30
-21 30
-20 30
-19 30
-18 30
-17 30
-16 30
-15 30
-14 30
-13 30
-12 30
-11 30
-10 30
-9 30
-8 30
-7 30
-6 30
-5 30
-4 30
-3 30
-2 30
-1 30
0 30
1 30
2 30
3 30
4 30
5 30
6 30
7 30
8 30
9 30
10 30
11 30
12 30
13 30
14 30
15 30
16 30
17 30
18 30
19 30
20 30
21 30
22 30
23 30
24 30
-21 31
-20 31
-19 31
-18 31
-17 31
-16 31
-15 31
-14 31
-13 31
-12 31
-11 31
-10 31
-9 31
-8 31
-7 31
-6 31
-5 31
-4 31
-3 31
-2 31
-1 31
0 31
1 31
2 31
3 31
4 31
5 31
6 31
7 31
8 31
9 31
10 31
11 31
12 31
13 31
14 31
15 31
16 31
17 31
18 31
19 31
20 31
21 31
22 31
-19 32
-18 32
-17 32
-16 32
-15 32
-14 32
-13 32
-12 32
-11 32
-10 32
-9 32
-8 32
-7 32
-6 32
-5 32
-4 32
-3 32
-2 32
-1 32
0 32
1 32
2 32
3 32
4 32
5 32
6 32
7 32
8 32
9 32
10 32
11 32
12 32
13 32
14 32
15 32
16 32
17 32
18 32
19 32
20 32
21 32
-17 33
-16 33
-15 33
-14 33
-13 33
-12 33
-11 33
-10 33
-9 33
-8 33
-7 33
-6 33
-5 33
-4 33
-3 33
-2 33
-1 33
0 33
1 33
2 33
3 33
4 33
5 33
6 33
7 33
8 33
9 33
10 33
11 33
12 33
13 33
14 33
15 33
16 33
17 33
18 33
19 33
-15 34
-14 34
-13 34
-12 34
-11 34
-10 34
-9 34
-8 34
-7 34
-6 34
-5 34
-4 34
-3 34
-2 34
-1 34
0 34
1 34
2 34
3 34
4 34
5 34
6 34
7 34
8 34
9 34
10 34
11 34
12 34
13 34
14 34
15 34
16 34
17 34
-12 35
-11 35
-10 35
-9 35
-8 35
-7 35
-6 35
-5 35
-4 35
-3 35
-2 35
-1 35
0 35
1 35
2 35
3 35
4 35
5 35
6 35
7 35
8 35
9 35
10 35
11 35
12 35
13 35
14 35
-9 36
-8 36
-7 36
-6 36
-5 36
-4 36
-3 36
-2 36
-1 36
0 36
1 36
2 36
3 36
4 36
5 36
6 36
7 36
8 36
9 36
10 36
11 36
-4 37
-3 37
-2 37
-1 37
0 37
1 37
2 37
3 37
4 37
5 37
6 37;
DieOrigin 0.000 0.000;
WaferID "22";
Slot 22;
SampleCenterLocation 4617.947 1854.778;
InspectionTest 1;
SampleTestPlan  4650
-9 -36
-8 -36
-7 -36
-6 -36
-5 -36
-4 -36
-3 -36
-2 -36
-1 -36
0 -36
1 -36
2 -36
3 -36
4 -36
5 -36
6 -36
7 -36
8 -36
9 -36
10 -36
11 -36
-12 -35
-11 -35
-10 -35
-9 -35
-8 -35
-7 -35
-6 -35
-5 -35
-4 -35
-3 -35
-2 -35
-1 -35
0 -35
1 -35
2 -35
3 -35
4 -35
5 -35
6 -35
7 -35
8 -35
9 -35
10 -35
11 -35
12 -35
13 -35
14 -35
-15 -34
-14 -34
-13 -34
-12 -34
-11 -34
-10 -34
-9 -34
-8 -34
-7 -34
-6 -34
-5 -34
-4 -34
-3 -34
-2 -34
-1 -34
0 -34
1 -34
2 -34
3 -34
4 -34
5 -34
6 -34
7 -34
8 -34
9 -34
10 -34
11 -34
12 -34
13 -34
14 -34
15 -34
16 -34
17 -34
-17 -33
-16 -33
-15 -33
-14 -33
-13 -33
-12 -33
-11 -33
-10 -33
-9 -33
-8 -33
-7 -33
-6 -33
-5 -33
-4 -33
-3 -33
-2 -33
-1 -33
0 -33
1 -33
2 -33
3 -33
4 -33
5 -33
6 -33
7 -33
8 -33
9 -33
10 -33
11 -33
12 -33
13 -33
14 -33
15 -33
16 -33
17 -33
18 -33
19 -33
-19 -32
-18 -32
-17 -32
-16 -32
-15 -32
-14 -32
-13 -32
-12 -32
-11 -32
-10 -32
-9 -32
-8 -32
-7 -32
-6 -32
-5 -32
-4 -32
-3 -32
-2 -32
-1 -32
0 -32
1 -32
2 -32
3 -32
4 -32
5 -32
6 -32
7 -32
8 -32
9 -32
10 -32
11 -32
12 -32
13 -32
14 -32
15 -32
16 -32
17 -32
18 -32
19 -32
20 -32
21 -32
-21 -31
-20 -31
-19 -31
-18 -31
-17 -31
-16 -31
-15 -31
-14 -31
-13 -31
-12 -31
-11 -31
-10 -31
-9 -31
-8 -31
-7 -31
-6 -31
-5 -31
-4 -31
-3 -31
-2 -31
-1 -31
0 -31
1 -31
2 -31
3 -31
4 -31
5 -31
6 -31
7 -31
8 -31
9 -31
10 -31
11 -31
12 -31
13 -31
14 -31
15 -31
16 -31
17 -31
18 -31
19 -31
20 -31
21 -31
22 -31
-22 -30
-21 -30
-20 -30
-19 -30
-18 -30
-17 -30
-16 -30
-15 -30
-14 -30
-13 -30
-12 -30
-11 -30
-10 -30
-9 -30
-8 -30
-7 -30
-6 -30
-5 -30
-4 -30
-3 -30
-2 -30
-1 -30
0 -30
1 -30
2 -30
3 -30
4 -30
5 -30
6 -30
7 -30
8 -30
9 -30
10 -30
11 -30
12 -30
13 -30
14 -30
15 -30
16 -30
17 -30
18 -30
19 -30
20 -30
21 -30
22 -30
23 -30
24 -30
-24 -29
-23 -29
-22 -29
-21 -29
-20 -29
-19 -29
-18 -29
-17 -29
-16 -29
-15 -29
-14 -29
-13 -29
-12 -29
-11 -29
-10 -29
-9 -29
-8 -29
-7 -29
-6 -29
-5 -29
-4 -29
-3 -29
-2 -29
-1 -29
0 -29
1 -29
2 -29
3 -29
4 -29
5 -29
6 -29
7 -29
8 -29
9 -29
10 -29
11 -29
12 -29
13 -29
14 -29
15 -29
16 -29
17 -29
18 -29
19 -29
20 -29
21 -29
22 -29
23 -29
24 -29
25 -29
-25 -28
-24 -28
-23 -28
-22 -28
-21 -28
-20 -28
-19 -28
-18 -28
-17 -28
-16 -28
-15 -28
-14 -28
-13 -28
-12 -28
-11 -28
-10 -28
-9 -28
-8 -28
-7 -28
-6 -28
-5 -28
-4 -28
-3 -28
-2 -28
-1 -28
0 -28
1 -28
2 -28
3 -28
4 -28
5 -28
6 -28
7 -28
8 -28
9 -28
10 -28
11 -28
12 -28
13 -28
14 -28
15 -28
16 -28
17 -28
18 -28
19 -28
20 -28
21 -28
22 -28
23 -28
24 -28
25 -28
26 -28
-26 -27
-25 -27
-24 -27
-23 -27
-22 -27
-21 -27
-20 -27
-19 -27
-18 -27
-17 -27
-16 -27
-15 -27
-14 -27
-13 -27
-12 -27
-11 -27
-10 -27
-9 -27
-8 -27
-7 -27
-6 -27
-5 -27
-4 -27
-3 -27
-2 -27
-1 -27
0 -27
1 -27
2 -27
3 -27
4 -27
5 -27
6 -27
7 -27
8 -27
9 -27
10 -27
11 -27
12 -27
13 -27
14 -27
15 -27
16 -27
17 -27
18 -27
19 -27
20 -27
21 -27
22 -27
23 -27
24 -27
25 -27
26 -27
27 -27
28 -27
-27 -26
-26 -26
-25 -26
-24 -26
-23 -26
-22 -26
-21 -26
-20 -26
-19 -26
-18 -26
-17 -26
-16 -26
-15 -26
-14 -26
-13 -26
-12 -26
-11 -26
-10 -26
-9 -26
-8 -26
-7 -26
-6 -26
-5 -26
-4 -26
-3 -26
-2 -26
-1 -26
0 -26
1 -26
2 -26
3 -26
4 -26
5 -26
6 -26
7 -26
8 -26
9 -26
10 -26
11 -26
12 -26
13 -26
14 -26
15 -26
16 -26
17 -26
18 -26
19 -26
20 -26
21 -26
22 -26
23 -26
24 -26
25 -26
26 -26
27 -26
28 -26
29 -26
-28 -25
-27 -25
-26 -25
-25 -25
-24 -25
-23 -25
-22 -25
-21 -25
-20 -25
-19 -25
-18 -25
-17 -25
-16 -25
-15 -25
-14 -25
-13 -25
-12 -25
-11 -25
-10 -25
-9 -25
-8 -25
-7 -25
-6 -25
-5 -25
-4 -25
-3 -25
-2 -25
-1 -25
0 -25
1 -25
2 -25
3 -25
4 -25
5 -25
6 -25
7 -25
8 -25
9 -25
10 -25
11 -25
12 -25
13 -25
14 -25
15 -25
16 -25
17 -25
18 -25
19 -25
20 -25
21 -25
22 -25
23 -25
24 -25
25 -25
26 -25
27 -25
28 -25
29 -25
30 -25
-29 -24
-28 -24
-27 -24
-26 -24
-25 -24
-24 -24
-23 -24
-22 -24
-21 -24
-20 -24
-19 -24
-18 -24
-17 -24
-16 -24
-15 -24
-14 -24
-13 -24
-12 -24
-11 -24
-10 -24
-9 -24
-8 -24
-7 -24
-6 -24
-5 -24
-4 -24
-3 -24
-2 -24
-1 -24
0 -24
1 -24
2 -24
3 -24
4 -24
5 -24
6 -24
7 -24
8 -24
9 -24
10 -24
11 -24
12 -24
13 -24
14 -24
15 -24
16 -24
17 -24
18 -24
19 -24
20 -24
21 -24
22 -24
23 -24
24 -24
25 -24
26 -24
27 -24
28 -24
29 -24
30 -24
31 -24
-30 -23
-29 -23
-28 -23
-27 -23
-26 -23
-25 -23
-24 -23
-23 -23
-22 -23
-21 -23
-20 -23
-19 -23
-18 -23
-17 -23
-16 -23
-15 -23
-14 -23
-13 -23
-12 -23
-11 -23
-10 -23
-9 -23
-8 -23
-7 -23
-6 -23
-5 -23
-4 -23
-3 -23
-2 -23
-1 -23
0 -23
1 -23
2 -23
3 -23
4 -23
5 -23
6 -23
7 -23
8 -23
9 -23
10 -23
11 -23
12 -23
13 -23
14 -23
15 -23
16 -23
17 -23
18 -23
19 -23
20 -23
21 -23
22 -23
23 -23
24 -23
25 -23
26 -23
27 -23
28 -23
29 -23
30 -23
31 -23
-31 -22
-30 -22
-29 -22
-28 -22
-27 -22
-26 -22
-25 -22
-24 -22
-23 -22
-22 -22
-21 -22
-20 -22
-19 -22
-18 -22
-17 -22
-16 -22
-15 -22
-14 -22
-13 -22
-12 -22
-11 -22
-10 -22
-9 -22
-8 -22
-7 -22
-6 -22
-5 -22
-4 -22
-3 -22
-2 -22
-1 -22
0 -22
1 -22
2 -22
3 -22
4 -22
5 -22
6 -22
7 -22
8 -22
9 -22
10 -22
11 -22
12 -22
13 -22
14 -22
15 -22
16 -22
17 -22
18 -22
19 -22
20 -22
21 -22
22 -22
23 -22
24 -22
25 -22
26 -22
27 -22
28 -22
29 -22
30 -22
31 -22
32 -22
-31 -21
-30 -21
-29 -21
-28 -21
-27 -21
-26 -21
-25 -21
-24 -21
-23 -21
-22 -21
-21 -21
-20 -21
-19 -21
-18 -21
-17 -21
-16 -21
-15 -21
-14 -21
-13 -21
-12 -21
-11 -21
-10 -21
-9 -21
-8 -21
-7 -21
-6 -21
-5 -21
-4 -21
-3 -21
-2 -21
-1 -21
0 -21
1 -21
2 -21
3 -21
4 -21
5 -21
6 -21
7 -21
8 -21
9 -21
10 -21
11 -21
12 -21
13 -21
14 -21
15 -21
16 -21
17 -21
18 -21
